,Player,Position,EspnId,EspnHeadshot
340,Paul Cotter,C,4331579,https://a.espncdn.com/i/headshots/nhl/players/full/4331579.png
341,Ross Colton,C,4392471,https://a.espncdn.com/i/headshots/nhl/players/full/4392471.png
342,Martin Pospisil,C,4392883,https://a.espncdn.com/i/headshots/nhl/players/full/4392883.png
343,Peyton Krebs,C,4565238,https://a.espncdn.com/i/headshots/nhl/players/full/4565238.png
344,Joel Kiviranta,LW,4587910,https://a.espncdn.com/i/headshots/nhl/players/full/4587910.png
345,Nikolai Kovalenko,RW,4588147,https://a.espncdn.com/i/headshots/nhl/players/full/4588147.png
346,Ridly Greig,C,4697411,https://a.espncdn.com/i/headshots/nhl/players/full/4697411.png
347,Drew O'Connor,LW,4712146,https://a.espncdn.com/i/headshots/nhl/players/full/4712146.png
348,Mackie Samoskevich,RW,4874741,https://a.espncdn.com/i/headshots/nhl/players/full/4874741.png
349,Jiri Kulich,C,5080176,https://a.espncdn.com/i/headshots/nhl/players/full/5080176.png
350,Leo Carlsson,C,5149153,https://a.espncdn.com/i/headshots/nhl/players/full/5149153.png
351,Ryan Poehling,C,4233668,https://a.espncdn.com/i/headshots/nhl/players/full/4233668.png
352,Jonatan Berggren,RW,4378660,https://a.espncdn.com/i/headshots/nhl/players/full/4378660.png
353,Ilya Mikheyev,RW,4422415,https://a.espncdn.com/i/headshots/nhl/players/full/4422415.png
354,Philip Broberg,D,4565229,https://a.espncdn.com/i/headshots/nhl/players/full/4565229.png
355,Brett Leason,RW,4565278,https://a.espncdn.com/i/headshots/nhl/players/full/4565278.png
356,Lukas Reichel,LW,4697400,https://a.espncdn.com/i/headshots/nhl/players/full/4697400.png
357,Luke Evangelista,RW,4697446,https://a.espncdn.com/i/headshots/nhl/players/full/4697446.png
358,Jack McBain,C,4755695,https://a.espncdn.com/i/headshots/nhl/players/full/4755695.png
359,Zack Bolduc,C,4874734,https://a.espncdn.com/i/headshots/nhl/players/full/4874734.png
360,Andrei Kuzmenko,LW,5077308,https://a.espncdn.com/i/headshots/nhl/players/full/5077308.png
361,Adam Henrique,C,5074,https://a.espncdn.com/i/headshots/nhl/players/full/5074.png
362,Sam Carrick,C,5474,https://a.espncdn.com/i/headshots/nhl/players/full/5474.png
363,Cody Ceci,D,2976843,https://a.espncdn.com/i/headshots/nhl/players/full/2976843.png
364,Trevor van Riemsdyk,D,3025524,https://a.espncdn.com/i/headshots/nhl/players/full/3025524.png
