,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
397,8475855.0,Jesper Fast,R,CAR,32,73.0,6.0,13.0,19.0
398,8477380.0,Jonny Brodzinski,C,NYR,30,57.0,6.0,13.0,19.0
399,8477506.0,Ryan Pulock,D,NYI,29,58.0,5.0,14.0,19.0
400,8478432.0,Christian Fischer,R,DET,26,79.0,5.0,14.0,19.0
401,8480172.0,Jan Rutta,D,SJS,33,69.0,5.0,14.0,19.0
402,8482073.0,Braden Schneider,D,NYR,22,82.0,5.0,14.0,19.0
403,8475690.0,Chris Tanev,D,CGY,34,75.0,2.0,17.0,19.0
404,8479410.0,Mikhail Sergachev,D,TBL,25,34.0,2.0,17.0,19.0
405,8480878.0,Nils Lundkvist,D,DAL,23,59.0,2.0,17.0,19.0
406,8479316.0,Luke Kunin,C,SJS,26,77.0,11.0,7.0,18.0
407,8480289.0,Morgan Barron,C,WPG,25,80.0,11.0,7.0,18.0
408,8476374.0,Sean Kuraly,C,CBJ,30,62.0,9.0,9.0,18.0
409,8478434.0,Keegan Kolesar,R,VGK,26,79.0,8.0,10.0,18.0
410,8480448.0,Parker Kelly,L,OTT,24,80.0,8.0,10.0,18.0
411,8475462.0,Radko Gudas,D,ANA,33,66.0,6.0,12.0,18.0
412,8480220.0,Noah Cates,L,PHI,24,59.0,6.0,12.0,18.0
413,8476457.0,Adam Larsson,D,SEA,31,81.0,4.0,14.0,18.0
414,8476874.0,Olli Maatta,D,DET,29,72.0,4.0,14.0,18.0
415,8477365.0,Connor Clifton,D,BUF,28,79.0,4.0,14.0,18.0
416,8477932.0,Aaron Ekblad,D,FLA,27,51.0,4.0,14.0,18.0
417,8479398.0,Samuel Girard,D,COL,25,59.0,3.0,15.0,18.0
418,8479998.0,Mikey Anderson,D,LAK,24,74.0,2.0,16.0,18.0
419,8480049.0,Dylan Samberg,D,WPG,24,78.0,1.0,17.0,18.0
420,8478508.0,Yakov Trenin,C,NSH,26,76.0,12.0,5.0,17.0
421,8477903.0,Garnet Hathaway,R,PHI,32,82.0,7.0,10.0,17.0
422,8480995.0,Pontus Holmberg,R,TOR,24,54.0,7.0,10.0,17.0
423,8478463.0,Anthony Beauvillier,L,CHI,26,60.0,5.0,12.0,17.0
424,8479315.0,Joey Anderson,R,CHI,25,55.0,5.0,12.0,17.0
425,8474166.0,Alec Martinez,D,VGK,36,55.0,4.0,13.0,17.0
